domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter hepaticus 1813019 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Gramella Gramella forsetii 411153 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Kineosporiales Kineosporiaceae Kineococcus Kineococcus radiotolerans 131568 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Auritidibacter Auritidibacter sp. NML130574 	2170745 0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bosea Bosea sp. PAMC 	26642 S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae Planctopirus Planctopirus limnophila 120 	S 0.00000 0.00000 0.00000 0.00000 0.00063 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Stenotrophomonas Stenotrophomonas rhizophila 216778 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter pittii 48296 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Viruses Uroviricota Caudoviricetes Caudovirales Siphoviridae Sextaecvirus Staphylococcus virus SEP9 	1922247 0 0 0 0 2 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella dentalis 52227 	S 0.00000 0.00000 0.00000 0.00000 0.00075 0.00000 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium berghei 5821 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas lactis 1615674 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae Niastella Niastella koreensis 354356 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
