feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X93973	case	CAP	0.805410907265312	0.551151294253172	86	46	0.151998622102098	0.63357806670478
X264198	case	Uninfected	-1.45497340608894	0.945708848305753	86	13	0.152420612042901	0.63357806670478
X381764	case	CAP	-1.79068891375586	1.18180736307592	86	19	0.1523577421597	0.63357806670478
X515620	case	CAP	-0.766089883686698	0.523576478912589	86	47	0.15238774101253	0.63357806670478
X2494373	case	CAP	-0.662914906260233	0.453349573743612	86	41	0.152139708699531	0.63357806670478
X2598861	case	CAP	-0.743426611945142	0.437967721442508	86	12	0.152299270736544	0.63357806670478
X1267766	case	Uninfected	0.965310821788067	0.628608227255486	86	36	0.152620978234844	0.63359340384478
X2023772	case	CAP	1.38816957741042	0.897345163352664	86	18	0.15255951582466	0.63359340384478
X1718	case	CAP	-0.752396309798812	0.508833490355327	86	32	0.152990313407462	0.634309259513691
X28253	case	Uninfected	2.3082245698372	1.4910672505338	86	15	0.152938175430654	0.634309259513691
X75379	case	Uninfected	1.38857317719395	0.686386301379373	86	5	0.153438292913693	0.635757505622459
X816	case	Uninfected	-0.546068585746766	0.372900895551486	86	36	0.153765868229454	0.636705327122348
X79329	case	Uninfected	-1.12342772055085	0.759760933892866	86	26	0.154051372338377	0.637477836850459
X56112	case	CAP	-0.802183971630625	0.538596457341176	86	23	0.154620365686825	0.63831150313918
X286783	case	Uninfected	-0.821988908390995	0.562955164513567	86	36	0.154817510914294	0.63831150313918
X935198	case	CAP	-1.02147058630637	0.692167993462562	86	25	0.154707959712273	0.63831150313918
X1522056	case	CAP	-1.48439021579468	0.972170529034094	86	16	0.154847257396638	0.63831150313918
X1775411	case	Uninfected	1.13711528594568	0.776566750676244	86	30	0.15466314682645	0.63831150313918
X2599600	case	Uninfected	0.851595893596368	0.583960945795681	86	35	0.154841211906115	0.63831150313918
X1410383	case	Uninfected	0.86395307729913	0.588506938860808	86	33	0.155014543252475	0.638592520572697
X1823759	case	Uninfected	2.62735177333836	1.73262473447298	86	16	0.155306384055086	0.639385963237649
X2116657	case	CAP	0.796469554282808	0.54230042554412	86	50	0.155429330286107	0.639483508961293
X712538	case	Uninfected	0.895911627899459	0.598730542446032	86	31	0.155875898158187	0.640502813669131
X1855726	case	Uninfected	0.865192815492018	0.595349741452471	86	37	0.1557963819295	0.640502813669131
X384676	case	CAP	-0.99102810619163	0.672809961029306	86	26	0.156119834824418	0.640687959091546
X930166	case	CAP	-0.944955628130795	0.642306692122815	86	26	0.156089300709998	0.640687959091546
X138	case	CAP	-0.72616396258886	0.502550885033435	86	38	0.157364459621514	0.640766645722542
X519	case	CAP	0.615250308423492	0.420320272454064	86	26	0.157113373129944	0.640766645722542
X1275	case	Uninfected	1.2918114023255	0.862617578056999	86	16	0.157971190356226	0.640766645722542
X2116	case	CAP	-0.590888636061832	0.408572174198186	86	36	0.157948316464861	0.640766645722542
X51669	case	Uninfected	1.05259224674666	0.71750101538117	86	36	0.157326514506862	0.640766645722542
X74426	case	CAP	-1.75696240568203	0.657381438039868	86	25	0.158200725363616	0.640766645722542
X129985	case	CAP	-1.04148407935124	0.702020517781902	86	22	0.156486461947813	0.640766645722542
X169679	case	Uninfected	-0.738005059494233	0.512121805637419	86	42	0.157755261439865	0.640766645722542
X443218	case	Uninfected	2.19657954810054	1.48321010537864	86	20	0.15691277402416	0.640766645722542
X596153	case	CAP	-0.811203099119807	0.552453882473517	86	29	0.158300181817925	0.640766645722542
X663365	case	Uninfected	-0.539238329517154	0.374339876047177	86	46	0.157550386405627	0.640766645722542
X742013	case	Uninfected	-0.882470339777059	0.592412231046096	86	48	0.156486330313518	0.640766645722542
